date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:19	247991/247991	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:20%20GMT	https://ligaciputra138wanderer.com/	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/index.html	(from )
00:36:19	218/218	---M-Z	200	added ('OK')	text/plain	date:Mon,%2003%20Oct%202022%2017:36:20%20GMT	https://ligaciputra138wanderer.com/robots.txt		(from )
00:36:20	4526/4526	---M--	200	added ('OK')	image/png	etag:%22607575b6-11ae%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/favicon.png?v=7.0	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/faviconbbba.png	(from https://ligaciputra138wanderer.com/)
00:36:20	11894/11894	---M--	200	added ('OK')	image/png	etag:%22607575b1-2e76%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/apple-touch-icon.png	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/apple-touch-icon.png	(from https://ligaciputra138wanderer.com/)
00:36:21	44614/44614	---MCZ	200	added ('OK')	text/css	etag:W/%22607575aa-ae46%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/css/style.css?v=7.0	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/css/stylebbba.css	(from https://ligaciputra138wanderer.com/)
00:36:21	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:22%20GMT	https://ligaciputra138wanderer.com/owl.video.play.png	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/owl.video.play.png	(from https://ligaciputra138wanderer.com/)
00:36:21	236111/236111	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:22%20GMT	https://ligaciputra138wanderer.com/password/reset	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/password/reset.html	(from https://ligaciputra138wanderer.com/)
00:36:21	2586/2586	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:23%20GMT	https://ligaciputra138wanderer.com/contact-us	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/contact-us.html	(from https://ligaciputra138wanderer.com/)
00:36:21	383/383	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:23%20GMT	https://ligaciputra138wanderer.com/language/en	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/en	(from https://ligaciputra138wanderer.com/)
00:36:22	383/383	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:23%20GMT	https://ligaciputra138wanderer.com/language/id	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/id	(from https://ligaciputra138wanderer.com/)
00:36:22	383/383	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:24%20GMT	https://ligaciputra138wanderer.com/language/vn	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/vn	(from https://ligaciputra138wanderer.com/)
00:36:23	256853/256853	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:24%20GMT	https://ligaciputra138wanderer.com/register	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/register.html	(from https://ligaciputra138wanderer.com/)
00:36:23	242938/242938	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:24%20GMT	https://ligaciputra138wanderer.com/sportsbook	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/sportsbook.html	(from https://ligaciputra138wanderer.com/)
00:36:23	395751/395751	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:24%20GMT	https://ligaciputra138wanderer.com/casino	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/casino.html	(from https://ligaciputra138wanderer.com/)
00:36:23	246546/246546	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:25%20GMT	https://ligaciputra138wanderer.com/idnpoker	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/idnpoker.html	(from https://ligaciputra138wanderer.com/)
00:36:24	387253/387253	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:25%20GMT	https://ligaciputra138wanderer.com/slots	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/slots.html	(from https://ligaciputra138wanderer.com/)
00:36:24	268744/268744	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:25%20GMT	https://ligaciputra138wanderer.com/idnlive	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/idnlive.html	(from https://ligaciputra138wanderer.com/)
00:36:24	283489/283489	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:25%20GMT	https://ligaciputra138wanderer.com/tableGames	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/tableGames.html	(from https://ligaciputra138wanderer.com/)
00:36:25	239718/239718	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:25%20GMT	https://ligaciputra138wanderer.com/lottery	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/lottery.html	(from https://ligaciputra138wanderer.com/)
00:36:25	967506/967506	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:26%20GMT	https://ligaciputra138wanderer.com/promotion	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/promotion.html	(from https://ligaciputra138wanderer.com/)
00:36:25	252884/252884	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202022%2017:36:26%20GMT	https://ligaciputra138wanderer.com/referrals	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/referrals.html	(from https://ligaciputra138wanderer.com/)
00:36:25	568/568	---M--	200	added ('OK')	image/webp	etag:%22606ed348-238%22	https://ligaciputra138wanderer.com/assets/img/game-slider-holder.webp	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/game-slider-holder.webp	(from https://ligaciputra138wanderer.com/)
00:36:26	202/202	---M--	200	added ('OK')	image/webp	etag:%22606ed35c-ca%22	https://ligaciputra138wanderer.com/assets/img/game-slider2-holder.webp	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/game-slider2-holder.webp	(from https://ligaciputra138wanderer.com/)
00:36:26	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:27%20GMT	https://ligaciputra138wanderer.com/off/level	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/off/level	(from https://ligaciputra138wanderer.com/)
00:36:26	7684/7684	---M--	200	added ('OK')	image/gif	etag:%225b67e623-1e04%22	https://ligaciputra138wanderer.com/assets/img/balance-loading.gif	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/balance-loading.gif	(from https://ligaciputra138wanderer.com/)
00:36:26	5517/5517	---M--	200	added ('OK')	image/gif	etag:%225b46e6c0-158d%22	https://ligaciputra138wanderer.com/assets/img/loader.gif	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/loader.gif	(from https://ligaciputra138wanderer.com/)
00:36:27	53760/53760	---MCZ	200	added ('OK')	text/css	etag:W/%22606ec967-d200%22	https://ligaciputra138wanderer.com/assets/css/fontawesome.all.min.css?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/css/fontawesome.all.minbbba.css	(from https://ligaciputra138wanderer.com/)
00:36:27	38802/38802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c85fcd2-9792%22	https://ligaciputra138wanderer.com/assets/js/modernizr-custom.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/modernizr-custombbba.js	(from https://ligaciputra138wanderer.com/)
00:36:27	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c85fcd2-1538f%22	https://ligaciputra138wanderer.com/assets/js/jquery-3.3.1.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/jquery-3.3.1.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:29	20299/20299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22606ec967-4f4b%22	https://ligaciputra138wanderer.com/assets/js/popper.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/popper.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:30	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c85fcd2-c75f%22	https://ligaciputra138wanderer.com/assets/js/bootstrap.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/bootstrap.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:30	4655/4655	---MCZ	200	added ('OK')	application/javascript	etag:W/%22581abf77-122f%22	https://ligaciputra138wanderer.com/assets/js/marquee.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/marquee.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:30	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%22606ec967-ad36%22	https://ligaciputra138wanderer.com/assets/js/owl.carousel.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/owl.carousel.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:30	9058/9058	---MCZ	200	added ('OK')	application/javascript	etag:W/%225888204d-2362%22	https://ligaciputra138wanderer.com/assets/js/jquery.lazyload.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/jquery.lazyloadbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:30	7232/7232	---MCZ	200	added ('OK')	application/javascript	etag:W/%22606ec9a6-1c40%22	https://ligaciputra138wanderer.com/assets/js/main.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/mainbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:31	3241/3241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22581abf77-ca9%22	https://ligaciputra138wanderer.com/assets/js/accounting.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/accounting.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:31	2333/2333	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fe088ba-91d%22	https://ligaciputra138wanderer.com/assets/js/bootstrap-progressbar.min.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/bootstrap-progressbar.minbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:32	10085/10085	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe088ba-2765%22	https://ligaciputra138wanderer.com/assets/js/jquery.sticky.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/jquery.stickybbba.js	(from https://ligaciputra138wanderer.com/)
00:36:32	407/407	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe088ba-197%22	https://ligaciputra138wanderer.com/assets/js/plugins/progressbar.js?v=7.0	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/plugins/progressbarbbba.js	(from https://ligaciputra138wanderer.com/)
00:36:32	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:32%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/)
00:36:32	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:32%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/)
00:36:33	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:32%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/)
00:36:33	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:33%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/)
00:36:33	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:33%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/)
